"","Name","Rating","RatingCount","BoughtCount","Price","DeliveryFree","DeliveryDate","festival"
"40","Valentines Day Gifts for Her Him,Christmas,Anniversary, Wedding Perfect 40 Romantic Scratch Off Date Ideas Card Games Gifts, Fun & Adventurous Ideas for Newlywed, Boyfriend,Girlfriend Date Night","4.1 out of 5 stars, rating details","8 ratings","1K+ bought in past month","$9
99","Delivery","Mon, Jan 27","Valentine's Day"
"41","JIMBON Our Adventure Book Scrapbook Photo Album Retro Style Embossed Letter Cover Travel Diary Journal Scrap Book Kit For Couples,Memory Book For Anniversary Wedding,Valentines Day Gifts","4.7 out of 5 stars, rating details","1,350 ratings","5K+ bought in past month","$25
99","Delivery","Mon, Jan 27","Valentine's Day"
"42","How to Catch a Loveosaurus: A Valentine's Day Adventure","4.7 out of 5 stars, rating details","647 ratings",NA,"$6
99","$7.96 delivery",NA,"Valentine's Day"
"43","Body Restore Shower Steamers Aromatherapy 6 Pack - Galentines, Valentines Day Gifts for Her and Him, Birthday Gifts for Mom, Best Friend, Travel Essentials, Stress Relief, Bath Bombs - Bloom","4.4 out of 5 stars, rating details","15,113 ratings","30K+ bought in past month","$16
99","Delivery","Fri, Jan 24","Valentine's Day"
"44","40 Fun and Romantic Scratch Off Date Ideas for Him, Her, Girlfriend, Boyfriend, Wife, or Husband, Perfect for Datenight, Couples Gift for Valentine's Day, Anniversaries, Birthdays & More","4.5 out of 5 stars, rating details","2,587 ratings","30K+ bought in past month","$16
99","Delivery","Mon, Jan 27","Valentine's Day"
"45","Happy Valentine's Day, Mouse! (If You Give...)","4.8 out of 5 stars, rating details","5,774 ratings",NA,"$6
46","$7.88 delivery",NA,"Valentine's Day"
"46","Harvey The Heart Had Too Many Farts: A Rhyming Read Aloud Story Book For Kids And Adults About Farting and Friendship, A Valentine's Day Gift For Boys ... (Fart Dictionaries and Toot Along Stories)","4.8 out of 5 stars, rating details","3,262 ratings",NA,"$11
99","Delivery","Mon, Jan 27","Valentine's Day"
"47","Valentines Day Gifts for kids: Would You Rathe?: Valentine's Day Edition: Over 200 Hilarious, Fun, and Cute Questions for Kids","4.1 out of 5 stars, rating details","4 ratings",NA,"$5
89","Delivery","Mon, Jan 27","Valentine's Day"
"48","Shower Steamers Aromatherapy - 18 Pack Shower Bombs Birthday Gifts for Women, Organic Essential Oils, Self Care Gifts for Women, Mom, Mens Valentines Day Gifts for Her Him","4.4 out of 5 stars, rating details","2,974 ratings","10K+ bought in past month","$24
99","Delivery","Fri, Jan 24","Valentine's Day"
"49","Little Blue Truck's Valentine","4.9 out of 5 stars, rating details","11,327 ratings",NA,"$9
00","Delivery","Fri, Jan 24","Valentine's Day"
"50","Llama Llama I Love You","4.8 out of 5 stars, rating details","11,714 ratings",NA,"$4
89","Delivery","Mon, Jan 27","Valentine's Day"
